"Phoenix, AZ, USA",33.4483771,-112.0740373
"Cibolo, TX, USA",29.561618,-98.2269553
"Mountain Lakes, NJ, USA",40.8948212,-74.4329314
"Houston, TX, USA",29.7604267,-95.3698028
"West Alexandria, OH 45381, USA",39.7444973,-84.53217269999999
"Noble, OK, USA",35.1392357,-97.394753
"Portland, OR, USA",45.5230622,-122.6764816
"Venice, FL, USA",27.0997775,-82.4542632
"Las Vegas, NV, USA",36.1699412,-115.1398296
"Ashby, MA, USA",42.6772767,-71.81871389999999
"Cincinnati, OH, USA",39.1031182,-84.5120196
"San Francisco, CA, USA",37.7749295,-122.4194155
"Los Angeles, CA, USA",34.0522342,-118.2436849
"Atlanta, GA, USA",33.7489954,-84.3879824
"Philadelphia, PA, USA",39.9525839,-75.1652215
"Aquasco, MD 20608, USA",38.5851203,-76.7249652
"Chicago, IL, USA",41.8781136,-87.6297982
"Scottsdale, AZ, USA",33.4941704,-111.9260519
"Fayetteville, NC, USA",35.0526641,-78.87835849999999
"Fullerton, CA, USA",33.8703596,-117.9242966
"Lompoc, CA, USA",34.6391501,-120.4579409
"Oakland, CA, USA",37.8043637,-122.2711137
"San Diego, CA, USA",32.715738,-117.1610838
"Phoenix, AZ, USA",33.4483771,-112.0740373
"Cincinnati, OH, USA",39.1031182,-84.5120196
"Chicago, IL, USA",41.8781136,-87.6297982
"Saint Paul, MN, USA",44.9537029,-93.0899578
"Pueblo, CO, USA",38.2544472,-104.6091409
"Baltimore, MD, USA",39.3248208,-76.7567368
"Fresno, CA, USA",36.7468422,-119.7725868
"Homewood, IL, USA",41.5572567,-87.6656014
"Spokane, WA, USA",47.6587802,-117.4260466
"Dallas, TX, USA",32.7802618,-96.8009781
"Ventura, CA, USA",34.274646,-119.2290316
"Vincennes, IN 47591, USA",38.677269,-87.5286325
"San Diego, CA, USA",32.715738,-117.1610838
"Jacksonville, FL, USA",30.3321838,-81.65565099999999
"Spokane, WA, USA",47.6587802,-117.4260466
"Hempstead, NY, USA",40.7062128,-73.6187397
